title,label
removable batteries in smartphones will be mandatory in the eu starting in 2027,0
redis array: short story of a long development process,0
github is down,0
talking to 35 strangers at the gym,1
how monero's proof of work works,0
gamestop makes $55.5b takeover offer for ebay,1
pyinfra 3.8.0 is out,0
newton's law of gravity passes its biggest test,0
pomiferous: the most extensive apples (pommes) database,0
"i tracked 7,700 uk petrol stations every 10 minutes for 3 months",0
why are neural networks and cryptographic ciphers so similar? (2025),0
trademark violation: fake notepad++ for mac,1
using “underdrawings” for accurate text and numbers,1
alberta voter list leak is a potential public safety disaster,0
world's biggest rc a380 [video],0
texico: learn the principles of programming without even touching a computer,0
byomesh – new lora mesh radio offers 100x the bandwidth,1
dag workflow engine,0
deepclaude – claude code agent loop with deepseek v4 pro,1
someone allegedly used a hairdryer to rig polymarket weather bets,0
discovering hard disk physical geometry through microbenchmarking (2019),0
a treasure trove of fossils rewrites the story of early life,0
southwest headquarters tour,1
"fun with polynomials and linear algebra; or, slight abstract nonsense",0
let's buy spirit air,1
us–indian space mission maps extreme subsidence in mexico city,0
openai’s o1 correctly diagnosed 67% of er patients vs. 50-55% by triage doctors,1
1966 ford mustang converted into a tesla with working 'full self-driving',0
bad connection: global telecom exploitation by covert surveillance actors,0
tar files created on macos display errors when extracting on linux (2024),0
"new statue in london, attributed to banksy, of a suited man, blinded by a flag",1
introduction to atom,0
mercedes-benz commits to bringing back physical buttons,1
a desktop made for one,1
text-to-cad,0
i recreated the apple lisa computer inside an fpga [video],0
k3sup – bootstrap k3s over ssh in < 60s,0
why almost everyone loses–except a few sharks–on prediction markets,0
why tuis are back,1
show hn: ableton live mcp,0
what is z-angle memory and why is intel developing it?,0
show hn: apple's sharp running in the browser via onnx runtime web,0
security through obscurity is not bad,0
the text mode lie: why modern tuis are a nightmare for accessibility,1
i built my own hair electrolysis machine,1
the 'hidden' costs of great abstractions,0
group averages obscure how an individual's brain controls behavior: study,0
denuvo has been cracked in all single-player games it previously protected,1
"roger sweet, creator of the he-man action figure, dies at 91",0
10k+ satellites in space,0
nuclear receptor 4a1 linked to health effects of coffee: study,0
make your own microforest (2025),0
deepseek v4 – almost on the frontier,1
the road to a billion-token context,0
modern jet engine turbines: each blade a single crystal (2015),0
humanoid robot actuators,0
metal gear solid 2's source code has been leaked on 4chan,1
alert-driven monitoring,0
windows quality update: progress we've made since march,0
how far behind is each major chromium browser?,0
"infrasound waves stop kitchen fires, but can they replace sprinklers?",0
microsoft defender wrongly flags digicert certs as trojan:win32/cerdigent.a dha,0
llms are not a higher level of abstraction,0
supercollider,0
a couple million lines of haskell: production engineering at mercury,1
code orange: fail small is complete. the result is a stronger cloudflare network,0
dav2d,1
mathnet:30k competition math problems for ai mathematical reasoning benchmarking,0
underwater robot tracks sperm whale conversations in real time,0
this month in ladybird – april 2026,1
"mommy, are the inspirational stories on linkedin real?",0
the agent harness belongs outside the sandbox,0
clojurists together – q2 2026 open source funding announcement,0
do_not_track,1
cordouan lighthouse,0
collectwise (yc f24) is hiring,0
unsigned sizes: a five year mistake,0
a more efficient implementation of shor's algorithm,0
roblox loses 12m daily users after age id check rollout,0
six years perfecting maps on watchos,1
a physics engine with incremental rollback for multiplayer games,0
barman – backup and recovery manager for postgresql,0
brain scans reveal 3 adhd subtypes,0
buckets and objects are not enough,0
porsche will contest laguna seca in historic colors of the apple computer livery,0
"i'm peter roberts, immigration attorney who does work for yc and startups. ama",0
automatic brightness in plasma,0
over 8m thermos jars and bottles recalled after 3 people lost vision,0
open design: use your coding agent as a design engine,1
talking to transformers,0
broadcasting gps on the local network,0
show hn: i built a risc-v emulator that runs doom,0
why does it take so long to release black fan versions?,1
dotcl: common lisp implementation on .net,0
why are there both tmp and temp environment variables? (2015),0
refusal in language models is mediated by a single direction,0
"show hn: state of the art of coding models, according to hacker news commenters",0
"ai, intimacy, and the data you never meant to share",0
"specsmaxxing – on overcoming ai psychosis, and why i write specs in yaml",1
neanderthals ran 'fat factories' 125k years ago (2025),1
agentic coding is a trap,1
because it doesn't have to,0
united flight collides with truck and pole as it lands at newark,0
nethack 5.0.0,1
little magazines are back,0
"from cvs to git, thirty years of source control",0
"ai deleted my most tests, and said ""all tests pass""",0
"show hn: pollen – distributed wasm runtime, no control plane, single binary",0
show hn: software engineer to novelist: writing a book like coding,0
